,用户ID,评论时间,评论文本,positive_prob,sentiment,neutral_prob,negative_prob
2923,,,已经有超过三个朋友正经的问我是不是喜欢女生……我之前都能斩钉截铁的回答，不，我喜欢男生，但是问的人多了我都开始怀疑自己了……怎样知道自己喜欢男生还是女生啊？,0.9785,正面,0.0001,0.0213
2924,,,不支持同性恋，但是也不反对！！因为这是别人的生活。别人不应该去干涉！！,0.0354,负面,0.0092,0.9554
2925,,,"弹幕都在说阿姨失望，父母失望，但是如果不是社会环境和文化，这个事情本身只是一件事情，没有人需要为它失望的。
为了父母失望，母亲想抱孙子结婚生子，本身也对那些男性很不公平，做父母的有权利对儿女的选择失望，但是没有权利从任何角度干涉他们选择伴侣。我也不太明白，为什么放在男女恋爱上所有人就都说父母之命，媒妁之言都是旧社会思想，都是淘汰的糟粕，在同性问题上父母就有权干涉儿女的选择了。",0.261,负面,0.0147,0.7241
2926,,,作为单身，我觉得同性恋和异性恋又有什么差别,0.9987,正面,0.0,0.0013
2927,,,怕啥，我男女都不喜欢，现在都一个人过了二十年了，依然都没有对任何人有一点感觉，我感觉我是有缺陷的，哎,0.9762,正面,0.0003,0.0235
2928,,,我进来想说这个1我可以  看完视频不好意思我走错片场了,0.9982,正面,0.0,0.0018
2929,,,"我不是同但是我是腐女
而且光明正大买书磕cp
为什么？
因为我妈也是腐女（从她20几岁时）
我们可以一起磕哈哈哈哈哈哈哈哈",0.0095,负面,0.0007,0.9898
2930,,,我妈研究生，但是假如我这样。。。我觉得。。。她能疯。不过不结婚她还是支持的,0.9783,正面,0.0003,0.0214
2931,,,我以前一直觉得男人不可靠，没有理由，天生的，后来高一的时候，一个女孩出现，她掰弯了我，我是真的很爱她，后来她忽然离开了我，那段时间都是灰暗的，高二的时候又出现了一个女孩，我们的感情又无缘无故的破灭了，都是毫无征兆，我是那种脾气很温和，可以说有点软弱的人，我不会和别人不愉快，她们离开我之后，我真的很难过，发现没有祝福的爱真的更不可靠，那时陷入一个孤立无援的境地，不知道什么可以相信我可能不能接受和男人在一起，但是我会努力和平常人一样，我和妈妈提过，妈妈并不是太支持，妈妈说这种事我无权干涉，但是这在中国，确实是不合法啊，如果你找到一个真心的女孩，我祝福你们，永远幸福,0.0393,负面,0.0005,0.9602
2932,,,我对同性恋其实不歧视，但是我非常恶心同性恋来骚扰我们直男直女，男的还好，遇到个女的整天骚扰我女朋友，我女朋友都拉黑她了和她说有对象了，她还天天跟踪我女朋友，她要是个男的，我早动手了！,0.7421,正面,0.0263,0.2316
2933,,,喜欢男生或女生和性格有关系吗？我是女生性格的男人，但是我喜欢女生啊,0.841,正面,0.0059,0.1531
2934,,,我十分赞同阿婆主的观点：出柜的时候一定要有经济能力。真的，经济独立才有话语权。,0.9919,正面,0.0001,0.008
2935,,,"看到弹幕在刷，妈妈真好我就呵呵了  up的妈妈有的选吗？我更多的感受到的是无奈，被迫的宽容 毕竟是自己的孩子，如果有的选，还会成为“好妈妈”吗
我估计会被喷，骂人请不要带家属谢谢",0.0018,负面,0.0001,0.9981
2936,,,每每看到这样的标题和视频我都感触颇深，我是08年出柜，那时候我高三，很天真，出柜之后就是被痛打赶出家门的日子，被软禁，被殴打，再然后赶出去断了联系，很多人没有这种经历也无法想象这种经历，两个刚成年的男生，为了学费，为了吃饭，为了生活去奔波，要承受社会对你的歧视，要承受别人对你异样的眼光，不敢正大光明公布恋情，约个会都要偷偷摸摸，很艰难，现在2020年，我很欣慰社会是在往前走的，但很显然，还有更长的路要走，希望你们可以跟另一半扶持着坚持下去，如果是一个人，也要坚持，你看不见的另一半也在努力，加油，一定一定要坚持,0.9521,正面,0.0004,0.0475
2937,,,就事说事，弯的不找直的，直的也别歧视弯的,0.8745,正面,0.0557,0.0697
2938,,,我是直女同时也是腐女，腐男男那种，劝告各位拉拉们千万不要喜欢直女，像小说那种我喜欢你我就能接受你的性别这就是假的，生理接受不了像我看男男很起劲但看女女就会直接跳过不歧视但会觉得很怪异，以前大学有个女校友是攻，头发很短挺帅气的，很多人知道她也很多说她是t离她远点，她的前室友说跟她同寝室还要放帘子隔着，躲她跟躲色狼样的，这里申明就算是同性恋也不是什么人都会喜欢，就跟正常人一样，你会见个男的就喜欢么,0.8791,正面,0.0017,0.1192
2939,,,不支持也不反对，非常反对在媒体扩大宣传，未成年孩子心智不成熟，容易叛逆觉得我同我酷，我与众不同。,0.8464,正面,0.0006,0.153
2940,,,up发量惊人,0.8698,正面,0.0475,0.0826
2941,,,我想跟所有的同性恋的人说一句：永远不要对真实的自己感到羞愧，爱你的人永远都会爱你。要努力变成一个更好的人，要去爱别人，要勇敢。爱才是世界上最美好的东西。❤️,0.9766,正面,0.0002,0.0232
2942,,,当我知道我的朋友是拉拉的时候，我突然觉得我可以更加坦然的跟她成为哥们了😂,0.5616,正面,0.0996,0.3387
2943,,,"不上热评就没人回复我，好TM真实
然后
我是gay，对我朋友有xing冲动，他有对象
然后家里劝我找女朋友
然后我就跟一个无性恋假扮情侣
哎",0.9927,正面,0.0,0.0073
2944,,,我感觉我爸妈每次说你以后嫁人，你以后老公，我就会有一种恶心和呕吐感，感觉很不舒服,0.9446,正面,0.0285,0.0268
2945,,,我的健康不需要孩子来保证，我的幸福不需要依靠伴侣，我自己一个人在这世界上鬼过很快乐,0.828,正面,0.0082,0.1637
2946,,,好羡慕up啊，妈妈也太善解人意了,0.805,正面,0.0011,0.1939
2947,,,现在有一种现象就是有些人觉得同性恋很酷，明明自己不是要刻意博人眼球就弄得真正的同性恋很尴尬。一些人也喜欢把别人的友谊乱磕cp，要是出柜的人不好看就觉得恶心，我真是奇怪了,0.8326,正面,0.1618,0.0051
2948,,,我很疑惑，为什么大多同性恋的其中一人要把自己扮演成男子气一点或女子气一点，这是性别的认知吗,0.797,正面,0.0009,0.202
2949,,,以前觉得自己喜欢女生，后来以为自己喜欢男生，现在才明白，我自己最喜欢的还是自己,0.0735,负面,0.0072,0.9193
2950,,,我觉得跟男的亲密接触，我觉得很恶心，想象不到，女的我也不想，总之感觉跟别人亲密接触是很恶心的事,0.9984,正面,0.0,0.0016
2951,,,up的经历让我想起了大学时候的很多事我们班有两个拉拉都是T，一个异地恋，她女票过来看她的时候会住在她宿舍，就在我宿舍对面，我有时会在走廊遇到，是个长发飘飘的小姐姐。另一个住我隔壁宿舍，喜欢我宿舍的一个妹子，结果被她舍友举报辅导员了，辅导员也没说啥，然后她不想和举报人住一起就搬我宿舍了，和她女票挤一张小床上可能因为我大学时期碰巧身边有这样的群体，而且都是很优秀很有个性的人，所以我一直很能理解他们。希望up能幸福,0.9945,正面,0.0001,0.0054
2952,,,人生本来就是孤独的。如果能遇到一个懂得珍惜彼此的人，无论那个人是异性还是同性，都是美好的事情吧！世间无论多么残酷，我还是愿意相信美好的存在。。。,0.9929,正面,0.0003,0.0067
2953,,,抱抱阿婆主，妈妈也好好,0.9417,正面,0.0006,0.0577
2954,,,我是男的，身边有很多要好的朋友，我没想过他们是不是gay或者拉拉，也不在乎他们是不是gay或者拉拉，反正大家一起玩的开心就好，直到有一天，一个男的温柔的摸了一下我的手，妈丫，我感觉自己有危险，还起了一身的鸡皮疙瘩,0.9896,正面,0.0002,0.0103
2955,,,同性恋可以要孩子的，虽然孩子可能生物学上父亲是别人（精子捐献人） 。但是作为女性，在现今是可以要一个自己的孩子的。所以up的妈妈也不必担忧不能做姥姥。其实对于家长最大的压力不是不能面对你们，而是不容易面对这个社会外在的压力。包括担忧你们未来所要承受的异样眼光。但是换过来想一下，如果嫁给异性，不照样有很多让人头疼的问题吗？所以，要担忧，父母永远都会。这样想是否会轻松一点。,0.863,正面,0.0005,0.1365
2956,,,我是直女，从来都觉得自己喜欢男生。以前被一个同给强吻了，但是竟然感觉比男人感觉好，没有口臭而且比较细腻，差点被扳弯了。,0.9898,正面,0.0008,0.0094
2957,,,如果一个女生或者男生，心理性别是相反的，那到底算不算同性恋，我觉得如果心理性别是相反的，其实也和异性恋差不多吧，如果恋人双方都是认同接受并且没有想过改变性别的情况是不是才算真正的同性恋呢,0.4512,负面,0.0029,0.5459
2958,,,"我是双性恋偏同，初恋是女孩子，在一起一年多了，决定永远在一起，和我妈说过我不结婚，她反应并不大。
还没出柜，一定要在28岁之前有自己的房子，她毕业后我们可以一起住，说实话也是有点害怕的，怕会分手什么的，不过我会努力的。经济独立真的很重要，连物质基础都没有，谈什么给人家幸福。
说点题外话吧。
看到up主妈妈说的“我没有接受你是同性恋的义务”，突然觉得心理压力有点轻松了，我没什么资格要求我父母理解我得了抑郁症这件事，毕竟这是我自己的问题，没办法怪别人，他们能带我去看医生已经很好了，不能要求再多了，同时，我也不能轻易以自杀来要挟他们。
抱抱up主鸭！大啊毛君很好的。",0.618,正面,0.0081,0.3738
2959,,,以前上学网恋被一个同性恋男的骗了 很不幸我是一个钢铁直男。被我知道了，卧槽 我真的把毕生能骂的芬芳都吐了出来。 真的 我不反对同性恋，可是别拉上我 我他妈受不了 想想都不行,0.5706,正面,0.0106,0.4187
2960,,,一开始我不太接受“同性恋”这个词，就好像我听到“异性恋”会感到奇怪。虽然我不是同性恋，但也会在一些场合，反驳那些用“同性恋”这个词来描述同性之间的恋爱。但后来我想到，我之所以听到“同性恋”这三个字会敏感，是因为现实中同性恋确实不被很多人认可，而我潜意识里认同了这种不认可，所以才会敏感，这其实是我自己的问题。认识到这一点之后，我开始反省，于是再也没有去反驳別人用“同性恋”这个词来描述一段感情，反正我自己内心知道，同性恋与异性恋都是一样的。并且我深知，在目前这个时代，同性恋的感情更考验双方的真心与勇气，更值得尊重与敬佩。,0.8817,正面,0.0084,0.1098
2961,,,我现在的女朋友就曾经是拉拉，同性恋了7.8年，然后后来她才知道自己只是腐女而已，性取向是正常的，不是我掰直的，另有其人，她还隐瞒了我很久，所以我真的不喜欢腐文化大行其道，让很多性取向正常的腐女受到误导,0.47,负面,0.0086,0.5214
2962,,,没有冒犯的意思 看完整段视频 你的外表 声音和举止都好男生啊 就是个斯文的男孩子 如果你不说自己女生的话 我都看不出来。这是我第一次看一位现实中的同性恋而不是文学影视中的人物 很真实 很坦诚 思想很成熟 你和你的母亲都非常了不起 我觉得以后社会环境会越来越开明 人们越来越包容 每个人都有选择自己生活的权利而不被视为异类 最后祝你人生顺遂快乐,0.3097,负面,0.0005,0.6898
2963,,,"我是双性恋偏女多点，身边的人都很难接受，都觉得恶心，因为她是看我跟女生暧昧，（因为互有好感但是都还没挑破成为情侣关系），然后我的朋友我玩很好的朋友就离开了，她就说没想到给你这样的人相处这么多年，想想就觉得恶心。我什么也没问，什么也没说，然后断了联系！当时那个暧昧对象也没在一起。从那后也再没谈过恋爱。
现在我有了新的朋友，到现在3年了，因为那件事我都没敢说过我的取向。是真的怕了。",0.9935,正面,0.001,0.0055
2964,,,丑？人家丑？你们这部分瞎说的男生闭嘴吧，人家帅得很，女生就是喜欢,0.5732,正面,0.0022,0.4246
2965,,,"我喜欢的女生是我旁桌，也是我在学校最好的朋友。自从我意识到我喜欢她之后，就学不会和她聊天了，甚至再也不能和同性建立亲密关系了
后来换座位我故意换走了，我可能情密关系障碍吧，完全维持不了关系
很快就她又有了闺蜜，形影不离……
这是我目送有情人的开始",0.0983,负面,0.0267,0.875
2966,,,看着评论区的大家再谈自己的恋情，我也想谈，然后我突然发现，我是个寡王……,0.9875,正面,0.0004,0.0121
2967,,,拉拉我能接受，男男受不了。支持UP主,0.1453,负面,0.3491,0.5054
2968,,,emmm我就是up说的她初恋的那种人，，，我喜欢过男生但是几个月前突然感觉我对一个女生有了心动的感觉，，啊，我过了一周才确认我弯了，但是我曾经试探过我妈，我妈觉得同性恋都是有病，，我爸我不敢试探，因为他太聪明太了解我怕暴露。我奶，，比较封建重男轻女注重香火啊啊啊啊。而且那个女生也是纯粹把我当成朋友，我也不是她喜欢的类型，甚至相差甚远emmm。我感觉她家人应该是不会接受同性恋的。现在就很纠结，就只能默默喜欢然后等感情没了吧。,0.9478,正面,0.0038,0.0485
2969,,,我觉得我是这个半开放世界的产物，我可以接受男生也可以接受女生，我有对异性恋的期待也有对同性恋的理解，同时也坚信忠诚、付出与回报，我很开心这个世界给我的无限可能。,0.0909,负面,0.0015,0.9076
2970,,,我是女生，小时候不太喜欢玩女孩子的玩具，男孩子的游戏比较喜欢，大概是什么都会玩一点的状态吧。后来，青春期，会在意身边的男同学，慢慢会打扮自己，想吸引他们的目光，。但是同时又真的喜欢女孩子的身体，喜欢看一些，，女孩子的，，肉体？可能就是身材好想看。，也非常不喜欢肌肉男，觉得男生肉一点没什么不好。我也不喜欢谈恋爱。(跟什么性别的都不想谈。觉得那些亲密的事很讨厌。),0.9623,正面,0.0006,0.0371
2971,,,目前能让我整天魂不守舍魂牵梦绕胡思乱想的东西也就只有游戏,0.9518,正面,0.0003,0.0478
2972,,,请不要怪这个世界不友好，因为从生物学意义上讲，同性恋属于无助于种族延续的错误，不歧视不鼓励不干涉，我觉得已经是我个人能够给出的最大善意。请不要宣传，也不要立法，这只是人们吃得饱之后的烦恼，你们没有生物学意义上的后代，为了种族的延续所以也不要干扰正常的繁衍，保持在灰色地带就好，这也是从族群角度上来考虑应该承受的痛苦吧。,0.9782,正面,0.0011,0.0207
2973,,,我永远都不明白直男为啥要点进同性恋视频里面证明自己的nt,0.995,正面,0.0005,0.0045
2974,,,一个很奇怪的问题，为什么我看到的百合漫画总是一个人非常阳光，英气，多数是短发，大大咧咧，而且往往是T；另一个柔弱，娇小，需要被保护，总是长发 这样子。我不是想有什么性别刻板印象或者什么别的，我就是想看两个柔柔弱弱的女孩子谈恋爱。但为什么像后者这样子的一对很少，还是百合多数都是第一种情况呢？想问问up主。,0.8247,正面,0.1555,0.0189
2975,,,说个残酷的现实，我认识一些妹子之前说她是同的   ，百分之八十以上都找异性结婚了(超过23岁),0.6791,正面,0.0901,0.2308
2976,,,以前跟我妈聊过以后结婚的问题，她说以后找男朋友一定要找个门当户对的，条件差点你会累，条件好点你也许会不自在，反正我给她说找男朋友怎样她就很耐心跟我聊，我说我要是不结婚呢，她就一下子变了态度，说你先别想这些，好好学习，以后再说，我只是说我不结婚她都这样了，我都不敢告诉她我是个同还是害怕,0.5672,正面,0.0279,0.4049
2977,,,我是孤儿，福利院的，不敢表现出自己女孩的一面，硬生生的被男同化，出了社会后，还是想做回自己，时间长了，就变成2个我，一个是自我，一个是社会的我，自我总是偷偷的，因为胆小怕事，从不然在别人面前做自己，生怕断了生活的来源，没什么本事，像我这样的，就很痛苦！,0.9955,正面,0.0002,0.0043
2978,,,up主你这个发型特别特别好看！,0.5349,正面,0.0006,0.4645
2979,,,可能因为害羞，见到男生都不敢看就躲着，然后都说我高冷，和女生倒都相处的不错，甚至我室友问问是不是同性恋，可能有几个女生比较粘着我这样，但我知道自己对女生不是那种喜欢，但对男生又总是挑，甚至不去接触，我这样可能就是注孤生,0.9991,正面,0.0,0.0008
2980,,,我对男女兴趣都不大诶，感觉我找对象是男是女都可以，但是又好像都不行,0.0508,负面,0.0169,0.9322
2981,,,同和异都少，但是颜狗双巨多,0.9852,正面,0.0001,0.0147
2982,,,看弹幕有人说你长得就像大老爷们，真的很不舒服 小学初中的时候我就因为长得像男生一样被校园欺凌过，能不能不要因为这个去歧视一个女生?我长得像男像女碍你什么事？还是我我脏了你的眼睛你看不惯我剪短发看不惯我老是一副面瘫脸看不惯我不和女生玩?有病吗老是去说这种话让别人不舒服让自己也不舒服的话?你像个女生行了吧？我不像女生我不来例假的行了吧？我是人妖行了吧？满意吗?我要整天对着你笑吗我要梳可爱的小辫子才是女孩子吗？短头发就不是女孩子了是吧？sb吧。,0.9288,正面,0.0015,0.0697
2983,,,"看了点评论，觉得自己不要把自己过于分类吧。你需要的是了解你自己，而不是把自己归类，觉得自己应该怎么样。
这种做法对自己挺不负责的。",0.9575,正面,0.0047,0.0378
2984,,,"我不知道我是什么情况，我一直有点性别认知的障碍，我厌恶女性化的词汇或装扮、行为出现在我身上(比如我听到嫁人，我就恶心得浑身起鸡皮疙瘩，又恶心又愤怒)，更渴望别认为是男性，另一方面又很讨厌和男性恋爱，所以我一直以为我是les。
但，我发现我并不是针对与男性恋爱，我是厌恶任何人涉入我的生活，这种领域被侵犯的感觉让我整个人都炸毛，会无法克制地恶意伤害一切与我关系亲密的人。我不懂我这是什么，这种心理从我6-7岁就开始了。
我需要看心理医生吗？因为我发现我已经没办法交普通朋友了。",0.6647,正面,0.006,0.3293
2985,,,重要的事，不是有没有人陪你走完余生，而是你怎样走完余生，只要安稳健康，一个人两个人也没差。不是在于你身边的人是男孩子还是女孩子，而是TA是不是与你心意相通。他是异性，那很好，你们的关系可以得到法律的维系，你们也可以有个孩子，所谓的生命延续，爱情结晶。他是同性，也没关系，真要长长久久，也不需要一张纸糊在一起。真要分道扬镳，一张纸也没多大作用。没有孩子，你就是我的孩子。我用一生疼爱你。其实真正的问题，并不是在于同性恋或者异性恋，而是在于爱情本身，婚姻本身，人性本身。所以不必害怕。,0.7726,正面,0.0055,0.2219
2986,,,我上初中的时候，班里就有个喜欢班长的男生（班长是男的），班里的人也不觉得奇怪，可能是习惯了，男生也不刻意跟他保持距离，对他挺好的也不拿这件事开玩笑，他也跟女生玩的很好，经常和五六个女生说说笑笑的走在一起，吗的当时把我羡慕坏了。,0.9953,正面,0.0,0.0047
2987,,,"我问我妈，我要喜欢女生怎么办
我妈：跟我有啥关系
我：你没啥反应吗？？？？
我妈：啥反应？你喜欢男的喜欢女的又不是我喜欢，我又不能主导你的一生
很感动",0.9512,正面,0.0001,0.0487
2988,,,经济能力很重要,0.0458,负面,0.0017,0.9526
2989,,,"我说:“可以跟女生在一起么”
我妈:“那我去跳楼”
我说:“我不结婚可以吧”
我妈:“那随便你”",0.7194,正面,0.001,0.2796
2990,,,“爸，我恋爱了”“哦，有空带到家里来吃饭”“可是……那是个女孩子……”“……女孩子也要吃饭啊”,0.9951,正面,0.0,0.0049
2991,,,我无数次向别人解释，我是双性恋，但不是花心,0.5038,正面,0.0118,0.4844
2992,,,看哭了😭😭和妈妈一起对抗这个世界的不美好和不温柔，这本身就是一件很美好很温柔的事了,0.9902,正面,0.0017,0.008
2993,,,我嘛，对男的也没感觉对女的也没感觉（现实），只想自己留长头发当女生那种的，很唯美,0.0075,负面,0.0006,0.9919
2994,,,真的太棒了，阿姨三观好正啊！泪目！,0.9968,正面,0.0001,0.0031
2995,,,不支持，不反对，不歧视，不宣传。,0.9953,正面,0.0002,0.0045
2996,,,"我是异性恋。初中的时候有一个好闺蜜，上厕所都要手拉手。
有一天，我妈很严肃的找到班主任，说我是同性恋。
班主任又拿到班会上说，那段时间我和闺蜜两个，走到哪里都是恶毒的语言。
现在长大了，直到现在，我妈还认为我是同性恋。（交过男朋友，还带回家了，我妈还是认为我是拉拉。）
因为单身太久，在我二十六岁生日那天，我妈把我叫到车库，很严肃的跟我说：妈妈只是希望有个人跟你携手走接下来的路，不管是男的也好女的也好，你把女朋友带回家给我看看吧。
我：？？？？",0.2295,负面,0.0085,0.7619
2997,,,前天和妈妈出柜了，我说我喜欢女生（没有告诉她我有女朋友），不会考虑和男生谈恋爱。妈妈并没有暴跳如雷，她很平静地说她觉得很可怕，觉得我有心理问题，然后反问我现在的孩子为什么都不想结婚了。最后她和我说即使是不喜欢男生也不要找女生。。她今天和小区楼底下的叔叔阿姨讨论了两个多小时谈恋爱的问题。,0.0615,负面,0.024,0.9145
2998,,,不婚主义者不知道怎么抵抗世界，诶,0.6082,正面,0.0067,0.3851
2999,,,看完迪斯尼的视频，就过来了，哭了一切会顺顺利利的，真的会的,0.9767,正面,0.0002,0.023
3000,,,不得不说父母乃至家庭的影响实在太大，我一直觉得这个社会没有正确的男女相处的观念。从小就是男女授受不亲，长大一点了，又严令禁止早恋，要好好学习。虽然说人不可能那么老实，说不早恋就一点心思不动，但是终究不敢过分，更不敢让他们知道你喜欢谁。说白了，就是过度压抑天性，而不是向正确的方向引导。到了成年，又开始马不停蹄的催婚，问你当初在学校就没有处得好点的女同学吗？  我特么……吐血,0.0493,负面,0.0015,0.9491
3001,,,我一直看一直哭，UP的话刺痛了我的心。我佩服包括UP在座所有人的勇气。,0.9831,正面,0.0048,0.0121
3002,,,拉拉完全可以接受，但男的真的没法做朋友，特别是那种特强壮的我正常取向，但有2对拉拉的朋友，一对是麻友，一对是很要好的那种，不过有时候喝醉了睡一个屋子还是会有非分之想，怪她们真的太会打扮了，但我很块就会恢复理智告诉自己她们是我好朋友，现在两对都分了，麻友其中一个还结婚生子了，拉拉谈恋爱很辛苦的，还有一点，千万别问她们怎么发生关系这个问题，她们会问候你母亲的，10多年的朋友也一样,0.9868,正面,0.0006,0.0126
3003,,,我是一个双性恋患者，我告诉我妈说我喜欢男的，结果我妈说要是你找男的就不让我这个儿子，咋办,0.7968,正面,0.0064,0.1968
3004,,,为什么骂啊，我觉得up说得很清楚啊,0.9544,正面,0.001,0.0446
3005,,,作为一个自性恋，只爱我自己。以前也谈过男朋友，但是我非常清楚我为什么喜欢他，因为他就是我的理想对象就是我喜欢的样子，哪怕这个人不是他我也同样会喜欢，因为我喜欢的就是这个样子的人啊。后来分手了，痛苦了很长时间，终于搞清楚问题出在我自己身上，我喜欢的不过是理想中的我自己，我多愁善感，所以喜欢他勇敢坚强，我柔弱，所以喜欢他阳刚，我不安，所以喜欢他能保护我，我喜欢他温柔，因为我希望被呵护。我只是喜欢那些我没有的品质罢了，我喜欢的是更完美的我自己。如果这一切我都有，我哪里需要去喜欢别人呢？所以，修炼自我才是一个人成长的最好道路。现在，我可以对过去毫无介意，因为我已经变成了我自己最喜欢的样子，我不需要去爱别的任何人，将来我也只会变的让自己更满意。,0.9686,正面,0.0003,0.0312
3006,,,我有天问我妈妈，我要说我是个同性恋，你怎么说，她说那我要被你气死。那会我已经领男朋友回家了，所以她知道我只是问问她，看看她的反应。我跟她说同性恋不是病，她也不信。其实up主的父母能这么开明是一件很好的事情，世界上有很多父母是做不到这样的。我没有骗婚，我确实不是同性恋。,0.9771,正面,0.0008,0.0221
3007,,,每次遇到喜欢的出柜的人我都不知道是该在外表上夸他帅还是漂亮，就比如如果一个出轨的女生打扮的比较男性化，所以我该夸她帅气她会比较开心吗？我凌乱了,0.9553,正面,0.0021,0.0426
3008,,,同性恋就恋呗，拿来宣传就很恶心了,0.7171,正面,0.0164,0.2664
3009,,,"花里胡哨的。就是矫情。
以前就没有这么多弯弯绕绕的。
都是现在一大推各种各样的百合作品啊，基佬作品啊，还有一些稀奇古怪的价值观的作品等等。
讲那么多，不还是喜欢漂亮的女生，漂亮的男生。
这些作品的出现，导致一大帮人想要显得自己与众不同，然后另一帮人想显得包容平等来附和这种观点。
真是搞笑。同性恋就同性恋，反正社会主流就是不接受但会接纳。
你还想着所有人都能接受同性恋啊？

从生物种族角度来说，如果不能进化但同性繁殖，那就是我们这个种族的害群之马，是可致病的病毒。想让这种病毒蔓延开来？
也就是人类有智慧，有包容，要么对科学做出贡献，要么就当好一个有良心的病毒。",0.7871,正面,0.1153,0.0974
3010,,,现在承认同性恋也成了政治正确吗，还一口一个希望你们出柜成功,0.0489,负面,0.0013,0.9498
3011,,,我不歧视，但是我不希望国家通过同性恋法，不仅对传统道德冲击很大，最重要的是会导致整个民族慢性自杀，毕竟同性恋不能生下一代，这么大个国家，需要有人去守护,0.1223,负面,0.0057,0.872
3012,,,你是同性恋，那女生和你一个寝室和她们与一个男生住在一个寝室有什么区别？没有恶意，就是想问一下。,0.9845,正面,0.0001,0.0155
3013,,,初中时喜欢一个女孩，于是我就害怕被人发现，就申请转学了，直接从南方转到北方，于是我就被物理掰直了。,0.2178,负面,0.0082,0.774
3014,,,"第一次看你视频的时候，有几十秒没反应过来有什么不对，之后越来越怀疑到最终确定你就是同性恋。奇怪的是，虽然我第一次看到同性恋，但我这个钢铁直男竟然没有什么异样的感觉。看了你更多的视频之后，我拉着老婆一起看你们的恋爱vlog ,哈哈，我老婆惊呆了，她很传统，缓了半天，经过我解释才慢慢承受了第一次亲眼看到女同性恋的冲击力😄，总之，祝福你，祝福你们！喜欢你的性格，让人轻松愉快，加油！",0.7749,正面,0.0014,0.2237
3015,,,我大三跟我妈出柜来着，我妈表情毫不意外，异常淡定。后来我问她为什么那么冷静，我妈说，感情的事没那么轻松，你现在的年纪就算遇到异性也不一定能过一辈子，我跟你说也没用，过时间长了自己就知道了。...(￣ε(#￣)Σ,0.9911,正面,0.0001,0.0088
3016,,,"我:妈我以后不太想结婚。
我妈:不结就不结，反正我结完婚就后悔了。
我爸:……",0.9992,正面,0.0,0.0008
3017,,,"因为不是同性恋，但挺好奇一件事，假如同性恋被迫和一个异性相处，就是必需认真对待谈一场恋爱那种，会不会因为异性的陪伴而产生男女感情呢？毕竟这个世界的风气是男和女可以在一起的。
就像我小时候讨厌吃鱼，现在却特别喜欢吃鱼，人的观点应该是和喜好一样会随着时间的沉淀而慢慢改变的，但有一种不变叫做坚持，也有人称为固执，我们每个人认定不变的，都无关对错，认定本身就是自己的真理。
我这样啰嗦，其实就是想问同性恋的朋友们一个问题，然后又怕被人拉出来鞭尸，特此声明一下：所有人，做的所有任何不违反国家法律的任何事，无关对错，只要你的选择能让你现在开心、未来顺意，你就是对的。",0.8786,正面,0.0849,0.0364
3018,,,我是双，我喜欢上谁不会考虑他或她的性别。我初中的时候问我妈我要是喜欢女生怎么办?我妈说，那她还不如现在就掐死我。那段时间我喜欢上一个女孩子，我一直惴惴不安因为我妈察觉到了什么变得很神经质。但我从来不觉得自己做错了什么，不会强迫自己去只喜欢男生。如果在我想去爱一个人之前，有人规定我一定要爱上什么性别的人什么性格的人什么年龄的人等等等等，那我会觉得好累，好像丧失了爱人的能力。,0.9935,正面,0.0002,0.0063
3019,,,"我...男生女生都会喜欢，但是
爸爸妈妈的态度完全不一样
妈妈觉得那是我自己的事，只要我过得好就可以
爸爸觉得不行，所以导致我至今没有跟爸爸坦白过我现在喜欢着一个女生",0.9434,正面,0.0027,0.0539
3020,,,我的性取向应该是异性，看到好看的异性会欣赏，但是我真正喜欢的是一个同性一个好看的女孩子，但我对其他女孩子都没有感觉，对男生也只是欣赏,0.9649,正面,0.0001,0.0349
3021,,,就目前已知的研究表明：性向是天生的，异性恋占多数，同性恋和双性恋是少数。虽然性向天生，但人的行为是可以转变的，有些人可能会处于满足情感依赖，追求刺激或者其他诸多原因，在短期内表现出另一种性向，流动的性向真的很少。不要妄图去掰弯或掰直别人，不管男女。指路up@DD第二代,0.998,正面,0.0001,0.0019
3022,,,"我父亲是一个很开明的人，母亲也还好，但是我觉得她被现在很多东西影响了，先说态度吧
我有一段时间经常和我爸妈透露一些关于同性恋的消息，我妈就问我“你不会是同性恋吧？”我说我不是，事实上我真挺直的，她还是有点不放心，总有点试探的意思，我爸当时说“她要是真是同性恋也改不了，喜欢同性还是异性，就像有人左撇子有人右撇子一样。”我爸从我小时候就没有避开过这个话题，而我妈确实没跟我谈过，她跟我简单说说关于性的时候我都啥都知道了。
但是我妈说她不喜欢同性恋，因为觉得好好的男孩子就应该阳光，同性恋都女性化了。我觉得“男孩子应该阳光”这本身就是性别刻板印象，而且很多卖腐、娱乐并不能说明一个群体的特征，不管男孩子还是女孩子，喜欢同性还是异性，活得开心已经很难，为什么还要管他们性格是不是符合大众?何况娱乐玩梗本身就不应当建立在这样上，会增添很多恶意。",0.2362,负面,0.0024,0.7614
3023,,,我个人是个直男，同性恋说实话没啥看法吧，男同性恋我不支持也不反对反正别找我就行跟我无关，女同性恋反而感觉比较有嗑头不知道为什么！,0.9623,正面,0.0018,0.0359
3024,,,"我问过我妈
“如果我是同性恋你会怎么想？”
“活到这个岁数没什么不能接受的，我不会阻止你，但是你也不要给自己定性，去尝试一下再说，我也不会管你，但是我真的不希望你是。”",0.1024,负面,0.1391,0.7585
